DATE;HOUR;FACT
06.03.2015;7;15,66
06.03.2015;8;182,28
06.03.2015;9;162,3
06.03.2015;10;38,16
06.03.2015;11;98,64
06.03.2015;12;55,32
06.03.2015;13;155,7
06.03.2015;14;111,36
06.03.2015;15;79,08
06.03.2015;16;53,88
06.03.2015;17;77,1
06.03.2015;18;32,46
06.03.2015;19;411,42
06.03.2015;20;382,38
06.03.2015;21;133,08
06.03.2015;22;308,34
06.03.2015;23;74,4
07.03.2015;0;338,76
07.03.2015;1;450,78
07.03.2015;2;249,66
07.03.2015;3;197,22
07.03.2015;4;53,76
07.03.2015;5;264,48
07.03.2015;6;329,64
07.03.2015;7;135,84
07.03.2015;8;290,04
07.03.2015;9;140,76
07.03.2015;10;276,24
07.03.2015;11;196,38
07.03.2015;12;288,24
07.03.2015;13;233,52
07.03.2015;14;151,32
07.03.2015;15;318,12
07.03.2015;16;339,72
07.03.2015;17;303,42
07.03.2015;18;247,5
07.03.2015;19;295,62
07.03.2015;20;32,88
07.03.2015;21;181,38
07.03.2015;22;262,62
07.03.2015;23;122,28
08.03.2015;0;128,16
08.03.2015;1;105
08.03.2015;2;208,38
08.03.2015;3;6,96
08.03.2015;4;169,08
08.03.2015;5;29,16
08.03.2015;6;240,36
08.03.2015;7;64,68
08.03.2015;8;265,38
08.03.2015;9;120,84
08.03.2015;10;107,28
08.03.2015;11;247,14
08.03.2015;12;146,16
08.03.2015;13;253,86
08.03.2015;14;223,32
08.03.2015;15;80,52
08.03.2015;16;195,9
08.03.2015;17;255,9
08.03.2015;18;129,18
08.03.2015;19;71,94
08.03.2015;20;162,06
08.03.2015;21;256,14
08.03.2015;22;276,3
08.03.2015;23;306,96
09.03.2015;0;378,54
09.03.2015;1;304,74
09.03.2015;2;209,22
09.03.2015;3;349,38
09.03.2015;4;288,84
09.03.2015;5;82,2
09.03.2015;6;140,7
09.03.2015;7;100,38
09.03.2015;8;277,92
09.03.2015;9;224,16
09.03.2015;10;183,54
09.03.2015;11;219,54
09.03.2015;12;190,92
09.03.2015;13;394,44
09.03.2015;14;308,22
09.03.2015;15;336,18
09.03.2015;16;36,18
09.03.2015;17;332,58
09.03.2015;18;164,16
09.03.2015;19;70,38
09.03.2015;20;93,96
09.03.2015;21;232,02
09.03.2015;22;188,94
09.03.2015;23;109,32
10.03.2015;0;288,48
10.03.2015;1;246,06
10.03.2015;2;275,34
10.03.2015;3;238,92
10.03.2015;4;263,94
10.03.2015;5;196,56
10.03.2015;6;240,48
10.03.2015;7;75,66
10.03.2015;8;220,56
10.03.2015;9;234,48
10.03.2015;10;191,76
10.03.2015;11;496,32
10.03.2015;12;79,62
10.03.2015;13;568,62
10.03.2015;14;469,44
10.03.2015;15;100,44
10.03.2015;16;156,3
10.03.2015;17;147,9
10.03.2015;18;85,86
10.03.2015;19;218,46
10.03.2015;20;449,58
10.03.2015;21;98,94
10.03.2015;22;301,38
10.03.2015;23;307,62
11.03.2015;0;60
11.03.2015;1;553,62
11.03.2015;2;-10,38
11.03.2015;3;73,2
11.03.2015;4;383,04
11.03.2015;5;391,02
11.03.2015;6;195,9
11.03.2015;7;197,28
11.03.2015;8;101,7
11.03.2015;9;107,16
11.03.2015;10;265,2
11.03.2015;11;228,78
11.03.2015;12;104,88
11.03.2015;13;276,36
11.03.2015;14;422,22
11.03.2015;15;200,1
11.03.2015;16;189,36
11.03.2015;17;140,82
11.03.2015;18;155,16
11.03.2015;19;151,26
11.03.2015;20;90,48
11.03.2015;21;166,02
11.03.2015;22;221,4
11.03.2015;23;94,86
12.03.2015;0;126,48
12.03.2015;1;151,2
12.03.2015;2;132,9
12.03.2015;3;174,84
12.03.2015;4;200,04
12.03.2015;5;281,82
12.03.2015;6;110,58
12.03.2015;7;102,3
12.03.2015;8;237,42
12.03.2015;9;152,4
12.03.2015;10;265,2
12.03.2015;11;169,26
12.03.2015;12;225,48
12.03.2015;13;230,7
12.03.2015;14;301,56
12.03.2015;15;196,74
12.03.2015;16;214,08
12.03.2015;17;75,3
12.03.2015;18;176,04
12.03.2015;19;139,74
12.03.2015;20;193,38
12.03.2015;21;113,04
12.03.2015;22;40,98
12.03.2015;23;164,04
13.03.2015;0;148,5
13.03.2015;1;134,64
