Дата;Местное время Тверь;Потребление факт, МВтч;;;
20.01.2017;08:00-09:00;768;20.01.2017;8;768
20.01.2017;09:00-10:00;786;20.01.2017;9;786
20.01.2017;10:00-11:00;783;20.01.2017;10;783
20.01.2017;11:00-12:00;776;20.01.2017;11;776
20.01.2017;12:00-13:00;762;20.01.2017;12;762
20.01.2017;13:00-14:00;764;20.01.2017;13;764
20.01.2017;14:00-15:00;756;20.01.2017;14;756
20.01.2017;15:00-16:00;752;20.01.2017;15;752
20.01.2017;16:00-17:00;753;20.01.2017;16;753
20.01.2017;17:00-18:00;793;20.01.2017;17;793
20.01.2017;18:00-19:00;807;20.01.2017;18;807
20.01.2017;19:00-20:00;797;20.01.2017;19;797
20.01.2017;20:00-21:00;781;20.01.2017;20;781
20.01.2017;21:00-22:00;755;20.01.2017;21;755
20.01.2017;22:00-23:00;707;20.01.2017;22;707
20.01.2017;23:00-24:00;661;20.01.2017;23;661
21.01.2017;00:00-01:00;623;21.01.2017;0;623
21.01.2017;01:00-02:00;598;21.01.2017;1;598
21.01.2017;02:00-03:00;585;21.01.2017;2;585
21.01.2017;03:00-04:00;577;21.01.2017;3;577
21.01.2017;04:00-05:00;579;21.01.2017;4;579
21.01.2017;05:00-06:00;591;21.01.2017;5;591
21.01.2017;06:00-07:00;609;21.01.2017;6;609
21.01.2017;07:00-08:00;638;21.01.2017;7;638
21.01.2017;08:00-09:00;674;21.01.2017;8;674
21.01.2017;09:00-10:00;697;21.01.2017;9;697
21.01.2017;10:00-11:00;714;21.01.2017;10;714
21.01.2017;11:00-12:00;714;21.01.2017;11;714
21.01.2017;12:00-13:00;710;21.01.2017;12;710
21.01.2017;13:00-14:00;706;21.01.2017;13;706
