Дата;Местное время Тверь;Потребление факт, МВтч;DATE;HOUR;FACT
20.01.2016;05:00-06:00;635;20.01.2016;5;635
20.01.2016;06:00-07:00;686;20.01.2016;6;686
20.01.2016;07:00-08:00;757;20.01.2016;7;757
20.01.2016;08:00-09:00;817;20.01.2016;8;817
20.01.2016;09:00-10:00;841;20.01.2016;9;841
20.01.2016;10:00-11:00;842;20.01.2016;10;842
20.01.2016;11:00-12:00;836;20.01.2016;11;836
20.01.2016;12:00-13:00;816;20.01.2016;12;816
20.01.2016;13:00-14:00;813;20.01.2016;13;813
20.01.2016;14:00-15:00;805;20.01.2016;14;805
20.01.2016;15:00-16:00;801;20.01.2016;15;801
20.01.2016;16:00-17:00;803;20.01.2016;16;803
20.01.2016;17:00-18:00;836;20.01.2016;17;836
20.01.2016;18:00-19:00;843;20.01.2016;18;843
20.01.2016;19:00-20:00;831;20.01.2016;19;831
20.01.2016;20:00-21:00;815;20.01.2016;20;815
20.01.2016;21:00-22:00;789;20.01.2016;21;789
20.01.2016;22:00-23:00;742;20.01.2016;22;742
20.01.2016;23:00-24:00;695;20.01.2016;23;695
21.01.2016;00:00-01:00;655;21.01.2016;0;655
21.01.2016;01:00-02:00;631;21.01.2016;1;631
21.01.2016;02:00-03:00;620;21.01.2016;2;620
21.01.2016;03:00-04:00;616;21.01.2016;3;616
21.01.2016;04:00-05:00;620;21.01.2016;4;620
21.01.2016;05:00-06:00;643;21.01.2016;5;643
21.01.2016;06:00-07:00;693;21.01.2016;6;693
21.01.2016;07:00-08:00;765;21.01.2016;7;765
21.01.2016;08:00-09:00;822;21.01.2016;8;822
21.01.2016;09:00-10:00;840;21.01.2016;9;840
21.01.2016;10:00-11:00;841;21.01.2016;10;841
21.01.2016;11:00-12:00;836;21.01.2016;11;836
21.01.2016;12:00-13:00;813;21.01.2016;12;813
21.01.2016;13:00-14:00;819;21.01.2016;13;819
21.01.2016;14:00-15:00;812;21.01.2016;14;812
21.01.2016;15:00-16:00;805;21.01.2016;15;805
21.01.2016;16:00-17:00;810;21.01.2016;16;810
21.01.2016;17:00-18:00;841;21.01.2016;17;841
21.01.2016;18:00-19:00;849;21.01.2016;18;849
21.01.2016;19:00-20:00;837;21.01.2016;19;837
21.01.2016;20:00-21:00;824;21.01.2016;20;824
21.01.2016;21:00-22:00;795;21.01.2016;21;795
21.01.2016;22:00-23:00;749;21.01.2016;22;749
21.01.2016;23:00-24:00;703;21.01.2016;23;703
22.01.2016;00:00-01:00;661;22.01.2016;0;661
22.01.2016;01:00-02:00;636;22.01.2016;1;636
22.01.2016;02:00-03:00;623;22.01.2016;2;623
22.01.2016;03:00-04:00;619;22.01.2016;3;619
22.01.2016;04:00-05:00;622;22.01.2016;4;622
22.01.2016;05:00-06:00;644;22.01.2016;5;644
22.01.2016;06:00-07:00;694;22.01.2016;6;694
22.01.2016;07:00-08:00;766;22.01.2016;7;766
22.01.2016;08:00-09:00;823;22.01.2016;8;823
22.01.2016;09:00-10:00;843;22.01.2016;9;843
22.01.2016;10:00-11:00;841;22.01.2016;10;841
22.01.2016;11:00-12:00;833;22.01.2016;11;833
22.01.2016;12:00-13:00;812;22.01.2016;12;812
22.01.2016;13:00-14:00;817;22.01.2016;13;817
22.01.2016;14:00-15:00;811;22.01.2016;14;811
22.01.2016;15:00-16:00;802;22.01.2016;15;802
22.01.2016;16:00-17:00;802;22.01.2016;16;802
22.01.2016;17:00-18:00;840;22.01.2016;17;840
22.01.2016;18:00-19:00;852;22.01.2016;18;852
22.01.2016;19:00-20:00;839;22.01.2016;19;839
22.01.2016;20:00-21:00;823;22.01.2016;20;823
22.01.2016;21:00-22:00;799;22.01.2016;21;799
22.01.2016;22:00-23:00;757;22.01.2016;22;757
22.01.2016;23:00-24:00;709;22.01.2016;23;709
23.01.2016;00:00-01:00;669;23.01.2016;0;669
23.01.2016;01:00-02:00;645;23.01.2016;1;645
23.01.2016;02:00-03:00;631;23.01.2016;2;631
23.01.2016;03:00-04:00;623;23.01.2016;3;623
23.01.2016;04:00-05:00;623;23.01.2016;4;623
23.01.2016;05:00-06:00;632;23.01.2016;5;632
23.01.2016;06:00-07:00;654;23.01.2016;6;654
23.01.2016;07:00-08:00;685;23.01.2016;7;685
23.01.2016;08:00-09:00;720;23.01.2016;8;720
23.01.2016;09:00-10:00;749;23.01.2016;9;749
23.01.2016;10:00-11:00;769;23.01.2016;10;769
23.01.2016;11:00-12:00;770;23.01.2016;11;770
23.01.2016;12:00-13:00;761;23.01.2016;12;761
23.01.2016;13:00-14:00;754;23.01.2016;13;754
23.01.2016;14:00-15:00;749;23.01.2016;14;749
23.01.2016;15:00-16:00;747;23.01.2016;15;747
23.01.2016;16:00-17:00;762;23.01.2016;16;762
23.01.2016;17:00-18:00;813;23.01.2016;17;813
23.01.2016;18:00-19:00;828;23.01.2016;18;828
23.01.2016;19:00-20:00;818;23.01.2016;19;818
23.01.2016;20:00-21:00;807;23.01.2016;20;807
23.01.2016;21:00-22:00;784;23.01.2016;21;784
23.01.2016;22:00-23:00;749;23.01.2016;22;749
23.01.2016;23:00-24:00;711;23.01.2016;23;711
24.01.2016;00:00-01:00;675;24.01.2016;0;675
24.01.2016;01:00-02:00;649;24.01.2016;1;649
24.01.2016;02:00-03:00;634;24.01.2016;2;634
24.01.2016;03:00-04:00;626;24.01.2016;3;626
24.01.2016;04:00-05:00;625;24.01.2016;4;625
24.01.2016;05:00-06:00;633;24.01.2016;5;633
24.01.2016;06:00-07:00;651;24.01.2016;6;651
24.01.2016;07:00-08:00;674;24.01.2016;7;674
24.01.2016;08:00-09:00;704;24.01.2016;8;704
24.01.2016;09:00-10:00;732;24.01.2016;9;732
24.01.2016;10:00-11:00;756;24.01.2016;10;756
24.01.2016;11:00-12:00;763;24.01.2016;11;763
24.01.2016;12:00-13:00;759;24.01.2016;12;759
24.01.2016;13:00-14:00;753;24.01.2016;13;753
24.01.2016;14:00-15:00;747;24.01.2016;14;747
24.01.2016;15:00-16:00;743;24.01.2016;15;743
24.01.2016;16:00-17:00;761;24.01.2016;16;761
24.01.2016;17:00-18:00;814;24.01.2016;17;814
24.01.2016;18:00-19:00;834;24.01.2016;18;834
24.01.2016;19:00-20:00;826;24.01.2016;19;826
24.01.2016;20:00-21:00;815;24.01.2016;20;815
24.01.2016;21:00-22:00;791;24.01.2016;21;791
24.01.2016;22:00-23:00;748;24.01.2016;22;748
24.01.2016;23:00-24:00;704;24.01.2016;23;704
25.01.2016;00:00-01:00;666;25.01.2016;0;666
25.01.2016;01:00-02:00;643;25.01.2016;1;643
25.01.2016;02:00-03:00;632;25.01.2016;2;632
25.01.2016;03:00-04:00;629;25.01.2016;3;629
25.01.2016;04:00-05:00;633;25.01.2016;4;633
25.01.2016;05:00-06:00;654;25.01.2016;5;654
25.01.2016;06:00-07:00;708;25.01.2016;6;708
25.01.2016;07:00-08:00;784;25.01.2016;7;784
25.01.2016;08:00-09:00;845;25.01.2016;8;845
25.01.2016;09:00-10:00;870;25.01.2016;9;870
25.01.2016;10:00-11:00;870;25.01.2016;10;870
25.01.2016;11:00-12:00;865;25.01.2016;11;865
25.01.2016;12:00-13:00;845;25.01.2016;12;845
25.01.2016;13:00-14:00;849;25.01.2016;13;849
25.01.2016;14:00-15:00;843;25.01.2016;14;843
25.01.2016;15:00-16:00;836;25.01.2016;15;836
25.01.2016;16:00-17:00;836;25.01.2016;16;836
25.01.2016;17:00-18:00;857;25.01.2016;17;857
25.01.2016;18:00-19:00;867;25.01.2016;18;867
25.01.2016;19:00-20:00;857;25.01.2016;19;857
25.01.2016;20:00-21:00;840;25.01.2016;20;840
25.01.2016;21:00-22:00;811;25.01.2016;21;811
25.01.2016;22:00-23:00;763;25.01.2016;22;763
25.01.2016;23:00-24:00;712;25.01.2016;23;712
26.01.2016;00:00-01:00;671;26.01.2016;0;671
26.01.2016;01:00-02:00;647;26.01.2016;1;647
26.01.2016;02:00-03:00;637;26.01.2016;2;637
26.01.2016;03:00-04:00;634;26.01.2016;3;634
26.01.2016;04:00-05:00;638;26.01.2016;4;638
26.01.2016;05:00-06:00;661;26.01.2016;5;661
26.01.2016;06:00-07:00;712;26.01.2016;6;712
26.01.2016;07:00-08:00;784;26.01.2016;7;784
26.01.2016;08:00-09:00;842;26.01.2016;8;842
26.01.2016;09:00-10:00;868;26.01.2016;9;868
26.01.2016;10:00-11:00;870;26.01.2016;10;870
26.01.2016;11:00-12:00;861;26.01.2016;11;861
26.01.2016;12:00-13:00;843;26.01.2016;12;843
26.01.2016;13:00-14:00;845;26.01.2016;13;845
26.01.2016;14:00-15:00;837;26.01.2016;14;837
26.01.2016;15:00-16:00;830;26.01.2016;15;830
26.01.2016;16:00-17:00;828;26.01.2016;16;828
26.01.2016;17:00-18:00;853;26.01.2016;17;853
26.01.2016;18:00-19:00;866;26.01.2016;18;866
26.01.2016;19:00-20:00;854;26.01.2016;19;854
26.01.2016;20:00-21:00;837;26.01.2016;20;837
26.01.2016;21:00-22:00;807;26.01.2016;21;807
26.01.2016;22:00-23:00;755;26.01.2016;22;755
26.01.2016;23:00-24:00;704;26.01.2016;23;704
27.01.2016;00:00-01:00;665;27.01.2016;0;665
27.01.2016;01:00-02:00;639;27.01.2016;1;639
27.01.2016;02:00-03:00;627;27.01.2016;2;627
27.01.2016;03:00-04:00;623;27.01.2016;3;623
27.01.2016;04:00-05:00;624;27.01.2016;4;624
27.01.2016;05:00-06:00;643;27.01.2016;5;643
27.01.2016;06:00-07:00;692;27.01.2016;6;692
27.01.2016;07:00-08:00;758;27.01.2016;7;758
27.01.2016;08:00-09:00;809;27.01.2016;8;809
27.01.2016;09:00-10:00;829;27.01.2016;9;829
27.01.2016;10:00-11:00;832;27.01.2016;10;832
27.01.2016;11:00-12:00;823;27.01.2016;11;823
27.01.2016;12:00-13:00;799;27.01.2016;12;799
27.01.2016;13:00-14:00;804;27.01.2016;13;804
27.01.2016;14:00-15:00;792;27.01.2016;14;792
27.01.2016;15:00-16:00;782;27.01.2016;15;782
27.01.2016;16:00-17:00;775;27.01.2016;16;775
27.01.2016;17:00-18:00;804;27.01.2016;17;804
