date;fact
26.12.2017;259,936
26.12.2017;259,203
26.12.2017;260,251
26.12.2017;259,521
26.12.2017;260,561
26.12.2017;259,603
26.12.2017;260,285
26.12.2017;261,096
26.12.2017;259,392
26.12.2017;258,979
26.12.2017;261,741
26.12.2017;261,114
26.12.2017;259,424
26.12.2017;261,006
26.12.2017;479,772
26.12.2017;260,500
26.12.2017;259,814
26.12.2017;261,445
26.12.2017;260,250
26.12.2017;258,932
26.12.2017;260,345
26.12.2017;259,035
26.12.2017;260,528
26.12.2017;260,057
26.12.2017;266,206
26.12.2017;262,842
26.12.2017;261,758
26.12.2017;264,114
26.12.2017;262,921
26.12.2017;264,003
26.12.2017;265,389
26.12.2017;263,014
26.12.2017;266,834
26.12.2017;260,739
26.12.2017;268,699
26.12.2017;259,373
26.12.2017;262,033
26.12.2017;264,741
26.12.2017;255,237
26.12.2017;267,711
25.12.2017;669,271
25.12.2017;262,253
25.12.2017;261,474
25.12.2017;264,629
25.12.2017;260,650
25.12.2017;261,189
25.12.2017;265,059
25.12.2017;260,950
25.12.2017;260,610
25.12.2017;263,729
25.12.2017;260,139
25.12.2017;262,119
25.12.2017;262,195
25.12.2017;263,464
25.12.2017;263,519
25.12.2017;260,051
25.12.2017;260,873
25.12.2017;261,815
25.12.2017;261,750
25.12.2017;261,013
25.12.2017;264,814
25.12.2017;259,539
25.12.2017;261,370
25.12.2017;263,130
25.12.2017;259,564
25.12.2017;261,261
25.12.2017;262,911
25.12.2017;264,570
25.12.2017;261,722
25.12.2017;261,888
25.12.2017;262,220
25.12.2017;262,081
25.12.2017;261,902
25.12.2017;277,588
25.12.2017;282,049
25.12.2017;280,746
25.12.2017;286,293
25.12.2017;277,765
25.12.2017;279,837
25.12.2017;278,525
25.12.2017;277,462
25.12.2017;279,595
25.12.2017;276,476
25.12.2017;266,455
25.12.2017;270,668
25.12.2017;268,694
25.12.2017;270,908
25.12.2017;272,449
25.12.2017;2,283
25.12.2017;0,095
25.12.2017;0,119
25.12.2017;0,113
25.12.2017;0,110
25.12.2017;0,106
25.12.2017;0,211
25.12.2017;1,248
25.12.2017;2,008
25.12.2017;0,613
25.12.2017;1,805
25.12.2017;2,056
25.12.2017;0,905
25.12.2017;1,679
25.12.2017;0,385
25.12.2017;0,111
25.12.2017;0,111
25.12.2017;0,078
25.12.2017;0,121
25.12.2017;0,098
25.12.2017;0,095
25.12.2017;0,102
25.12.2017;0,112
25.12.2017;0,116
25.12.2017;0,091
25.12.2017;0,121
25.12.2017;0,261
25.12.2017;0,191
25.12.2017;0,121
25.12.2017;0,102
25.12.2017;0,160
25.12.2017;0,170
25.12.2017;0,322
25.12.2017;0,629
25.12.2017;0,641
25.12.2017;0,635
25.12.2017;0,259
25.12.2017;0,108
25.12.2017;0,103
25.12.2017;0,141
25.12.2017;1,435
25.12.2017;0,855
25.12.2017;0,148
25.12.2017;0,433
25.12.2017;0,400
25.12.2017;239,434
25.12.2017;262,986
25.12.2017;266,019
25.12.2017;264,448
25.12.2017;270,152
25.12.2017;263,092
25.12.2017;262,800
25.12.2017;263,870
25.12.2017;266,426
25.12.2017;266,682
25.12.2017;266,057
25.12.2017;263,787
25.12.2017;264,834
25.12.2017;261,653
25.12.2017;264,076
25.12.2017;263,021
25.12.2017;265,950
25.12.2017;262,816
25.12.2017;263,605
25.12.2017;265,441
25.12.2017;262,337
25.12.2017;263,833
25.12.2017;264,047
25.12.2017;264,177
25.12.2017;265,270
25.12.2017;520,845
25.12.2017;265,609
25.12.2017;264,471
25.12.2017;262,024
25.12.2017;267,386
25.12.2017;262,177
25.12.2017;263,494
25.12.2017;264,918
25.12.2017;263,413
25.12.2017;261,839
25.12.2017;262,585
25.12.2017;266,883
25.12.2017;265,090
25.12.2017;265,032
25.12.2017;265,407
25.12.2017;265,620
25.12.2017;266,043
25.12.2017;268,371
25.12.2017;264,359
25.12.2017;265,470
25.12.2017;263,714
25.12.2017;264,806
25.12.2017;265,211
25.12.2017;264,853
25.12.2017;258,252
25.12.2017;267,153
24.12.2017;672,893
24.12.2017;261,129
24.12.2017;263,079
24.12.2017;262,813
24.12.2017;263,052
24.12.2017;263,166
24.12.2017;264,593
24.12.2017;265,962
24.12.2017;259,770
24.12.2017;262,170
24.12.2017;260,763
24.12.2017;261,685
24.12.2017;259,996
24.12.2017;263,186
24.12.2017;261,201
24.12.2017;257,279
24.12.2017;260,905
24.12.2017;260,416
24.12.2017;262,279
24.12.2017;257,718
24.12.2017;261,184
24.12.2017;261,687
24.12.2017;262,541
24.12.2017;257,779
24.12.2017;260,176
24.12.2017;260,538
24.12.2017;260,176
24.12.2017;260,550
24.12.2017;264,862
24.12.2017;258,478
24.12.2017;262,621
24.12.2017;258,183
24.12.2017;260,829
24.12.2017;260,720
24.12.2017;260,689
24.12.2017;263,005
24.12.2017;261,355
24.12.2017;276,329
24.12.2017;276,939
24.12.2017;275,846
24.12.2017;274,312
24.12.2017;273,835
24.12.2017;274,627
24.12.2017;270,719
24.12.2017;273,244
24.12.2017;267,533
24.12.2017;270,279
24.12.2017;276,093
24.12.2017;22,267
24.12.2017;0,114
24.12.2017;0,102
24.12.2017;0,101
24.12.2017;0,119
24.12.2017;0,101
24.12.2017;0,106
24.12.2017;0,129
24.12.2017;0,098
24.12.2017;0,106
24.12.2017;0,124
24.12.2017;0,103
24.12.2017;0,099
24.12.2017;0,111
24.12.2017;0,108
24.12.2017;0,098
24.12.2017;0,101
24.12.2017;0,101
24.12.2017;0,600
24.12.2017;1,186
24.12.2017;0,180
24.12.2017;0,673
24.12.2017;0,190
24.12.2017;0,101
24.12.2017;0,110
24.12.2017;0,113
24.12.2017;0,126
24.12.2017;0,133
24.12.2017;0,125
24.12.2017;0,261
24.12.2017;0,447
24.12.2017;0,892
24.12.2017;0,524
24.12.2017;1,956
24.12.2017;2,471
24.12.2017;3,335
24.12.2017;2,377
24.12.2017;2,252
24.12.2017;2,253
24.12.2017;2,270
24.12.2017;2,227
24.12.2017;1,044
24.12.2017;1,764
